ID,major_cat,general_cat,specific_cat,met_value
186,09 HH Services,05 Vehicle Maintenance and Repair Services (not done by self),02 Waiting associated with vehicle maintenance or repair services,1.53
187,09 HH Services,05 Vehicle Maintenance and Repair Services (not done by self),"99 Using vehicle maintenance and repair services, n.e.c.",1.68
188,09 HH Services,"99 HH Services, n.e.c.","99 Using HH services, n.e.c.",1.61
189,10 Government Services and Civic Obligations,01 Using Government Services,01 Using police and fire services,1.72
190,10 Government Services and Civic Obligations,01 Using Government Services,02 Using social services,1.71
191,10 Government Services and Civic Obligations,01 Using Government Services,"03 Obtaining licenses and paying fines, fees, taxes",1.87
192,10 Government Services and Civic Obligations,01 Using Government Services,"99 Using government services, n.e.c.",1.78
193,10 Government Services and Civic Obligations,02 Civic Obligations and Participation,01 Civic obligations and participation,1.65
194,10 Government Services and Civic Obligations,02 Civic Obligations and Participation,"99 Civic obligations and participation, n.e.c.",1.65
195,10 Government Services and Civic Obligations,03 Waiting Associated with Government Services or Civic Obligations,01 Waiting associated with using police/fire services,2
196,10 Government Services and Civic Obligations,03 Waiting Associated with Government Services or Civic Obligations,02 Waiting associated with obtaining licenses,2
197,10 Government Services and Civic Obligations,03 Waiting Associated with Government Services or Civic Obligations,03 Waiting associated with civic obligations and participation,2
198,10 Government Services and Civic Obligations,03 Waiting Associated with Government Services or Civic Obligations,"99 Waiting associated with government services or civic obligations, n.e.c.",2
199,10 Government Services and Civic Obligations,04 Security Procedures Related to Government Services/Civic Obligations,01 Security procedures related to government services/civic obligations,2.33
200,10 Government Services and Civic Obligations,04 Security Procedures Related to Government Services/Civic Obligations,"99 Security procedures related to government services/civic obligations, n.e.c.",2.33
201,10 Government Services and Civic Obligations,"99 Government Services, n.e.c.","99 Government services, n.e.c.",1.78
202,11 Eating and Drinking,01 Eating and Drinking,01 Eating and drinking,1.5
203,11 Eating and Drinking,01 Eating and Drinking,"99 Eating and drinking, n.e.c.",1.5
204,11 Eating and Drinking,02 Waiting associated with eating and drinking,01 Waiting associated with eating and drinking at home,2
205,11 Eating and Drinking,02 Waiting associated with eating and drinking,02 Waiting assoc. w/eating and drinking at restaurant/bar/place of purchase,1.67
206,11 Eating and Drinking,02 Waiting associated with eating and drinking,03 Waiting associated with eating and drinking in transit,1
207,11 Eating and Drinking,02 Waiting associated with eating and drinking,04 Elsewhere (same as 110299),1.67
208,11 Eating and Drinking,02 Waiting associated with eating and drinking,99 Elsewhere (same as 110204),1.67
209,11 Eating and Drinking,99 Waiting associated with eating and drinking,"99 Eating and drinking, n.e.c.",1.83
210,"12 Socializing, Relaxing and Leisure",01 Socializing and Communicating,01 Socializing and communicating with others,1.5
211,"12 Socializing, Relaxing and Leisure",01 Socializing and Communicating,"99 Socializing and communicating, n.e.c.",1.5
212,"12 Socializing, Relaxing and Leisure",02 Attending or Hosting Social Events,01 Attending or hosting parties/receptions/ceremonies,1.86
213,"12 Socializing, Relaxing and Leisure",02 Attending or Hosting Social Events,02 Attending meetings for personal interest (not volunteering),1.5
214,"12 Socializing, Relaxing and Leisure",02 Attending or Hosting Social Events,"99 Attending/hosting social events, n.e.c.",1.64
215,"12 Socializing, Relaxing and Leisure",03 Relaxing and Leisure,"01 Relaxing, thinking",1.21
216,"12 Socializing, Relaxing and Leisure",03 Relaxing and Leisure,02 Tobacco and drug use,1.13
217,"12 Socializing, Relaxing and Leisure",03 Relaxing and Leisure,03 Television and movies (not religious),1.33
218,"12 Socializing, Relaxing and Leisure",03 Relaxing and Leisure,04 Television (religious),1
219,"12 Socializing, Relaxing and Leisure",03 Relaxing and Leisure,05 Listening to the radio,1.15
220,"12 Socializing, Relaxing and Leisure",03 Relaxing and Leisure,06 Listening to/playing music (not radio),1.38
221,"12 Socializing, Relaxing and Leisure",03 Relaxing and Leisure,07 Playing games,1.5
222,"12 Socializing, Relaxing and Leisure",03 Relaxing and Leisure,08 Computer use for leisure (except games),1.9
223,"12 Socializing, Relaxing and Leisure",03 Relaxing and Leisure,09 Arts and crafts as a hobby,2.18
224,"12 Socializing, Relaxing and Leisure",03 Relaxing and Leisure,10 Collecting as a hobby,1.7
225,"12 Socializing, Relaxing and Leisure",03 Relaxing and Leisure,"11 Hobbies, except arts and crafts and collecting",2.15
226,"12 Socializing, Relaxing and Leisure",03 Relaxing and Leisure,12 Reading for personal interest,1.6
227,"12 Socializing, Relaxing and Leisure",03 Relaxing and Leisure,13 Writing for personal interest,1.8
228,"12 Socializing, Relaxing and Leisure",03 Relaxing and Leisure,"99 Relaxing and leisure, n.e.c.",1.54
229,"12 Socializing, Relaxing and Leisure",04 Arts and Entertainment (other than sports),01 Attending performing arts,1.5
230,"12 Socializing, Relaxing and Leisure",04 Arts and Entertainment (other than sports),02 Attending museums,2.1
231,"12 Socializing, Relaxing and Leisure",04 Arts and Entertainment (other than sports),03 Attending movies/film,2.1
232,"12 Socializing, Relaxing and Leisure",04 Arts and Entertainment (other than sports),04 Attending gambling establishments,2.3
233,"12 Socializing, Relaxing and Leisure",04 Arts and Entertainment (other than sports),05 Security procedures related to arts and entertainment,2.33
234,"12 Socializing, Relaxing and Leisure",04 Arts and Entertainment (other than sports),"99 Arts and entertainment, n.e.c.",1.63
235,"12 Socializing, Relaxing and Leisure","05 Waiting associated with socializing, relaxing and leisure",01 Waiting associated with socializing and communicating,1.3
236,"12 Socializing, Relaxing and Leisure","05 Waiting associated with socializing, relaxing and leisure",02 Waiting associated with attending/hosting social events,1.3
237,"12 Socializing, Relaxing and Leisure","05 Waiting associated with socializing, relaxing and leisure",03 Waiting associated with relaxing/leisure,1.3
238,"12 Socializing, Relaxing and Leisure","05 Waiting associated with socializing, relaxing and leisure",04 Waiting associated with arts and entertainment,1.3
239,"12 Socializing, Relaxing and Leisure","05 Waiting associated with socializing, relaxing and leisure","99 Waiting associated with socializing, n.e.c.",1.3
240,"12 Socializing, Relaxing and Leisure","99 Socializing, Relaxing and Leisure, n.e.c.","99 Socializing, relaxing, and leisure, n.e.c.",1.62
241,"13 Sports, Exercise, and Recreation","01 Participating in Sports, Exercise, or Recreation",01 Doing Aerobics,6.83
242,"13 Sports, Exercise, and Recreation","01 Participating in Sports, Exercise, or Recreation",02 Playing baseball,5
243,"13 Sports, Exercise, and Recreation","01 Participating in Sports, Exercise, or Recreation",03 Playing basketball,8
244,"13 Sports, Exercise, and Recreation","01 Participating in Sports, Exercise, or Recreation",04 Biking,8
245,"13 Sports, Exercise, and Recreation","01 Participating in Sports, Exercise, or Recreation",05 Playing billiards,2.5
246,"13 Sports, Exercise, and Recreation","01 Participating in Sports, Exercise, or Recreation",06 Boating,4.64
247,"13 Sports, Exercise, and Recreation","01 Participating in Sports, Exercise, or Recreation",07 Bowling,3
248,"13 Sports, Exercise, and Recreation","01 Participating in Sports, Exercise, or Recreation","08 Climbing, spelunking, caving",9.5
249,"13 Sports, Exercise, and Recreation","01 Participating in Sports, Exercise, or Recreation",09 Dancing,4.5
250,"13 Sports, Exercise, and Recreation","01 Participating in Sports, Exercise, or Recreation",10 Participating in equestrian sports,5.33
251,"13 Sports, Exercise, and Recreation","01 Participating in Sports, Exercise, or Recreation",11 Fencing,6
252,"13 Sports, Exercise, and Recreation","01 Participating in Sports, Exercise, or Recreation",12 Fishing,4.5
253,"13 Sports, Exercise, and Recreation","01 Participating in Sports, Exercise, or Recreation",13 Playing football,8
254,"13 Sports, Exercise, and Recreation","01 Participating in Sports, Exercise, or Recreation",14 Golfing,3.75
255,"13 Sports, Exercise, and Recreation","01 Participating in Sports, Exercise, or Recreation",15 Doing Gymnastics,4
256,"13 Sports, Exercise, and Recreation","01 Participating in Sports, Exercise, or Recreation",16 Hiking,6
257,"13 Sports, Exercise, and Recreation","01 Participating in Sports, Exercise, or Recreation",17 Playing hockey,8
258,"13 Sports, Exercise, and Recreation","01 Participating in Sports, Exercise, or Recreation",18 Hunting,4.5
259,"13 Sports, Exercise, and Recreation","01 Participating in Sports, Exercise, or Recreation",19 Participating in martial arts,10
260,"13 Sports, Exercise, and Recreation","01 Participating in Sports, Exercise, or Recreation",20 Playing racquet sports,8.5
261,"13 Sports, Exercise, and Recreation","01 Participating in Sports, Exercise, or Recreation",21 Participating in rodeo competitions,6
262,"13 Sports, Exercise, and Recreation","01 Participating in Sports, Exercise, or Recreation",22 Rollerblading,6
263,"13 Sports, Exercise, and Recreation","01 Participating in Sports, Exercise, or Recreation",23 Playing rugby,10
264,"13 Sports, Exercise, and Recreation","01 Participating in Sports, Exercise, or Recreation",24 Running,7.5
265,"13 Sports, Exercise, and Recreation","01 Participating in Sports, Exercise, or Recreation","25 Skiing, ice skating, snowboarding",7
266,"13 Sports, Exercise, and Recreation","01 Participating in Sports, Exercise, or Recreation",26 Playing soccer,7
267,"13 Sports, Exercise, and Recreation","01 Participating in Sports, Exercise, or Recreation",27 Softball,5
268,"13 Sports, Exercise, and Recreation","01 Participating in Sports, Exercise, or Recreation",28 Using cardiovascular equipment,8
269,"13 Sports, Exercise, and Recreation","01 Participating in Sports, Exercise, or Recreation",29 Vehicle touring/racing,3.3
270,"13 Sports, Exercise, and Recreation","01 Participating in Sports, Exercise, or Recreation",30 Playing volleyball,5.5
271,"13 Sports, Exercise, and Recreation","01 Participating in Sports, Exercise, or Recreation",31 Walking,3.8
272,"13 Sports, Exercise, and Recreation","01 Participating in Sports, Exercise, or Recreation",32 Participating in water sports,5.22
273,"13 Sports, Exercise, and Recreation","01 Participating in Sports, Exercise, or Recreation",33 Weightlifting/strength training,3
274,"13 Sports, Exercise, and Recreation","01 Participating in Sports, Exercise, or Recreation","34 Working out, unspecified",2.5
275,"13 Sports, Exercise, and Recreation","01 Participating in Sports, Exercise, or Recreation",35 Wrestling,6
276,"13 Sports, Exercise, and Recreation","01 Participating in Sports, Exercise, or Recreation",36 Doing yoga,3
277,"13 Sports, Exercise, and Recreation","01 Participating in Sports, Exercise, or Recreation","99 Playing sports, n.e.c.",5.1
278,13 Attending Sporting/Recreational Events,02 Attending Sporting/Recreational Events,01 Watching aerobics,1.5
279,13 Attending Sporting/Recreational Events,02 Attending Sporting/Recreational Events,02 Watching baseball,1.5
280,13 Attending Sporting/Recreational Events,02 Attending Sporting/Recreational Events,03 Watching basketball,1.5
281,13 Attending Sporting/Recreational Events,02 Attending Sporting/Recreational Events,04 Watching biking,1.5
282,13 Attending Sporting/Recreational Events,02 Attending Sporting/Recreational Events,05 Watching billiards,1.5
283,13 Attending Sporting/Recreational Events,02 Attending Sporting/Recreational Events,06 Watching boating,1.5
284,13 Attending Sporting/Recreational Events,02 Attending Sporting/Recreational Events,07 Watching bowling,1.5
285,13 Attending Sporting/Recreational Events,02 Attending Sporting/Recreational Events,"08 Watching climbing, spelunking, caving",1.5
286,13 Attending Sporting/Recreational Events,02 Attending Sporting/Recreational Events,09 Watching dancing,1.5
287,13 Attending Sporting/Recreational Events,02 Attending Sporting/Recreational Events,10 Watching equestrian sports,1.5
288,13 Attending Sporting/Recreational Events,02 Attending Sporting/Recreational Events,11 Watching fencing,1.5
289,13 Attending Sporting/Recreational Events,02 Attending Sporting/Recreational Events,12 Watching fishing,1.5
290,13 Attending Sporting/Recreational Events,02 Attending Sporting/Recreational Events,13 Watching football,1.5
291,13 Attending Sporting/Recreational Events,02 Attending Sporting/Recreational Events,14 Watching golfing,1.5
292,13 Attending Sporting/Recreational Events,02 Attending Sporting/Recreational Events,15 Watching gymnastics,1.5
293,13 Attending Sporting/Recreational Events,02 Attending Sporting/Recreational Events,16 Watching hockey,1.5
294,13 Attending Sporting/Recreational Events,02 Attending Sporting/Recreational Events,17 Watching martial arts,1.5
295,13 Attending Sporting/Recreational Events,02 Attending Sporting/Recreational Events,18 Watching racquet sports,1.5
296,13 Attending Sporting/Recreational Events,02 Attending Sporting/Recreational Events,19 Watching rodeo competitions,1.5
297,13 Attending Sporting/Recreational Events,02 Attending Sporting/Recreational Events,20 Watching rollerblading,1.5
298,13 Attending Sporting/Recreational Events,02 Attending Sporting/Recreational Events,21 Watching rugby,1.5
299,13 Attending Sporting/Recreational Events,02 Attending Sporting/Recreational Events,22 Watching running,1.5
300,13 Attending Sporting/Recreational Events,02 Attending Sporting/Recreational Events,"23 Watching skiing, ice skating, snowboarding",1.5
301,13 Attending Sporting/Recreational Events,02 Attending Sporting/Recreational Events,24 Watching soccer,1.5
302,13 Attending Sporting/Recreational Events,02 Attending Sporting/Recreational Events,25 Watching softball,1.5
303,13 Attending Sporting/Recreational Events,02 Attending Sporting/Recreational Events,26 Watching vehicle touring/racing,1.5
304,13 Attending Sporting/Recreational Events,02 Attending Sporting/Recreational Events,27 Watching volleyball,1.5
305,13 Attending Sporting/Recreational Events,02 Attending Sporting/Recreational Events,28 Watching walking,1.5
306,13 Attending Sporting/Recreational Events,02 Attending Sporting/Recreational Events,29 Watching water sports,1.5
307,13 Attending Sporting/Recreational Events,02 Attending Sporting/Recreational Events,30 Watching weightlifting/strength training,1.5
308,13 Attending Sporting/Recreational Events,02 Attending Sporting/Recreational Events,"31 Watching people working out, unspecified",1.5
309,13 Attending Sporting/Recreational Events,02 Attending Sporting/Recreational Events,32 Watching wrestling,1.5
310,13 Attending Sporting/Recreational Events,02 Attending Sporting/Recreational Events,"99 Attending sporting events, n.e.c.",1.5
311,13 Attending Sporting/Recreational Events,"03 Waiting Associated with Sports, Exercise, and Recreation",01 Waiting related to playing sports or exercising,1.5
312,13 Attending Sporting/Recreational Events,"03 Waiting Associated with Sports, Exercise, and Recreation",02 Waiting related to attending sporting events,1.5
313,13 Attending Sporting/Recreational Events,"03 Waiting Associated with Sports, Exercise, and Recreation","99 Waiting associated with sports, exercise, and recreation, n.e.c.",1.5
314,13 Attending Sporting/Recreational Events,"04 Security Procedures Related to Sports, Exercise and Recreation",01 Security related to playing sports or exercising,2.33
315,13 Attending Sporting/Recreational Events,"04 Security Procedures Related to Sports, Exercise and Recreation",02 Security related to attending sporting events,2.33
316,13 Attending Sporting/Recreational Events,"04 Security Procedures Related to Sports, Exercise and Recreation","99 Security related to sports, exercise, and recreation, n.e.c.",2.33
317,13 Attending Sporting/Recreational Events,"99 Sports, exercise and recreation, n.e.c.","99 Sports, exercise and recreation, n.e.c.",4.78
318,14 Religious and Spiritual Activities,01 Religious/Spiritual Practices,01 Attending religious services,1.42
319,14 Religious and Spiritual Activities,01 Religious/Spiritual Practices,02 Participation in religious practices,1.89
320,14 Religious and Spiritual Activities,01 Religious/Spiritual Practices,03 Waiting associated with religious and spiritual activities,1.5
321,14 Religious and Spiritual Activities,01 Religious/Spiritual Practices,04 Security procedures related to religious and spiritual activities,2.33
322,14 Religious and Spiritual Activities,"99 Religious and Spiritual Activities, n.e.c.","99 Religious and spiritual activities, n.e.c.",1.75
323,15 Volunteer Activities,01 Administrative and Support Activities,01 Computer use,1.5
324,15 Volunteer Activities,01 Administrative and Support Activities,02 Organizing and preparing,1.5
325,15 Volunteer Activities,01 Administrative and Support Activities,03 Reading,1.5
326,15 Volunteer Activities,01 Administrative and Support Activities,04 Telephone calls (except hotline counseling),1.5
327,15 Volunteer Activities,01 Administrative and Support Activities,05 Writing,1.5
328,15 Volunteer Activities,01 Administrative and Support Activities,06 Fundraising,1.7
329,15 Volunteer Activities,01 Administrative and Support Activities,"99 Administrative and support activities, n.e.c.",1.55
330,15 Volunteer Activities,02 Social Service and Care Activities (Except Medical),"01 Food preparation, presentation, clean-up",2.45
331,15 Volunteer Activities,02 Social Service and Care Activities (Except Medical),02 Collecting and delivering clothing and other goods,2.65
332,15 Volunteer Activities,02 Social Service and Care Activities (Except Medical),03 Providing care,2.25
333,15 Volunteer Activities,02 Social Service and Care Activities (Except Medical),"04 Teaching, leading, counseling, mentoring",2.14
334,15 Volunteer Activities,02 Social Service and Care Activities (Except Medical),"99 Social Service and care activities, n.e.c.",1.97
335,15 Volunteer Activities,"03 Indoor and Outdoor Maintenance, Building, and Clean-Up Activities","01 Building houses, wildlife sites, and other structures",4.5
336,15 Volunteer Activities,"03 Indoor and Outdoor Maintenance, Building, and Clean-Up Activities","02 Indoor and outdoor maintenance, repair, and clean-up",3.56
337,15 Volunteer Activities,"03 Indoor and Outdoor Maintenance, Building, and Clean-Up Activities","99 Indoor & outdoor maintenance, building & clean-up activities, n.e.c.",3.82
338,15 Volunteer Activities,04 Participating in Performance and Cultural Activities,01 Performing,2.92
339,15 Volunteer Activities,04 Participating in Performance and Cultural Activities,02 Serving at volunteer events and cultural activities,1.83
340,15 Volunteer Activities,04 Participating in Performance and Cultural Activities,"99 Participating in performance and cultural activities, n.e.c.",2.51
341,15 Volunteer Activities,"05 Attending Meetings, Conferences, and Training","01 Attending meetings, conferences, and training",1.5
342,15 Volunteer Activities,"05 Attending Meetings, Conferences, and Training","99 Attending meetings, conferences, and training, n.e.c.",1.5
343,15 Volunteer Activities,06 Public Health and Safety Activities,01 Public health activities,2
344,15 Volunteer Activities,06 Public Health and Safety Activities,02 Public safety activities,2.5
345,15 Volunteer Activities,06 Public Health and Safety Activities,"99 Public health and safety activities, n.e.c.",2.25
346,15 Volunteer Activities,"99 Volunteer Activities, n.e.c.","99 Volunteer activities, n.e.c.",2.29
347,16 Telephone Calls,01 Telephone calls (to or from),01 Telephone calls to/from family members,1.5
348,16 Telephone Calls,01 Telephone calls (to or from),"02 Telephone calls to/from friends, neighbors, or acquaintance",1.5
349,16 Telephone Calls,01 Telephone calls (to or from),03 Telephone calls to/from education services providers,1.5
350,16 Telephone Calls,01 Telephone calls (to or from),04 Telephone calls to/from salespeople,1.5
351,16 Telephone Calls,01 Telephone calls (to or from),05 Telephone calls to/from professional or personal care services providers,1.5
352,16 Telephone Calls,01 Telephone calls (to or from),06 Telephone calls to/from HH services providers,1.5
353,16 Telephone Calls,01 Telephone calls (to or from),07 Telephone calls to/from paid child or adult care providers,1.5
354,16 Telephone Calls,01 Telephone calls (to or from),08 Telephone calls to/from government officials,1.5
355,16 Telephone Calls,"99 Telephone Calls, n.e.c.","99 Telephone Calls, n.e.c.",1.5
